Motor energy,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
Alternative energy,Finland,2019,4039.0
Alternative energy,Finland,2020,6086.0
Alternative energy,Finland,2021,11075.0
Alternative energy,Finland,2022,15153.0
Alternative energy,Finland,2023,30007.0
Alternative energy,Finland,2024,22027.0
Alternative energy,France,2013,11975.0
Alternative energy,France,2014,13201.0
Alternative energy,France,2015,19181.0
Alternative energy,France,2016,23419.0
Alternative energy,France,2017,26597.0
Alternative energy,France,2018,34030.0
Alternative energy,France,2019,45968.0
Alternative energy,France,2020,129367.0
Alternative energy,France,2021,212089.0
Alternative energy,France,2022,254315.0
Alternative energy,France,2023,366779.0
Alternative energy,France,2024,352309.0
Alternative energy,Georgia,2017,83.0
Alternative energy,Georgia,2018,22.0
Alternative energy,Georgia,2019,23.0
Alternative energy,Georgia,2020,23.0
Alternative energy,Georgia,2021,44.0
Alternative energy,Georgia,2022,206.0
Alternative energy,Georgia,2023,245.0
Alternative energy,Georgia,2024,513.0
Alternative energy,Croatia,2013,272.0
Alternative energy,Croatia,2014,971.0
Alternative energy,Croatia,2015,1063.0
Alternative energy,Croatia,2016,1544.0
Alternative energy,Croatia,2017,1542.0
Alternative energy,Croatia,2018,2404.0
Alternative energy,Croatia,2019,3341.0
Alternative energy,Croatia,2021,2916.0
Alternative energy,Croatia,2022,2638.0
Alternative energy,Croatia,2023,2413.0
Alternative energy,Croatia,2024,1676.0
Alternative energy,Hungary,2013,283.0
Alternative energy,Hungary,2014,176.0
Alternative energy,Hungary,2015,270.0
Alternative energy,Hungary,2016,282.0
Alternative energy,Hungary,2017,808.0
Alternative energy,Hungary,2018,1382.0
Alternative energy,Hungary,2019,1962.0
Alternative energy,Hungary,2020,3413.0
Alternative energy,Hungary,2021,5040.0
Alternative energy,Hungary,2022,5603.0
Alternative energy,Hungary,2023,6370.0
Alternative energy,Hungary,2024,8928.0
Alternative energy,Ireland,2013,640.0
Alternative energy,Ireland,2014,1152.0
Alternative energy,Ireland,2015,2212.0
Alternative energy,Ireland,2016,3346.0
Alternative energy,Ireland,2017,631.0
Alternative energy,Ireland,2018,1252.0
Alternative energy,Ireland,2019,3666.0
Alternative energy,Ireland,2020,4075.0
Alternative energy,Ireland,2021,9515.0
Alternative energy,Ireland,2022,16597.0
Alternative energy,Ireland,2023,23181.0
Alternative energy,Ireland,2024,17508.0
Alternative energy,Iceland,2017,862.0
Alternative energy,Iceland,2018,790.0
Alternative energy,Iceland,2019,1149.0
Alternative energy,Iceland,2020,2586.0
Alternative energy,Iceland,2021,4254.0
Alternative energy,Iceland,2022,5571.0
Alternative energy,Iceland,2023,8787.0
Alternative energy,Iceland,2024,2665.0
Alternative energy,Italy,2013,184666.0
Alternative energy,Italy,2014,197644.0
Alternative energy,Italy,2015,185333.0
Alternative energy,Italy,2016,146790.0
Alternative energy,Italy,2017,163320.0
Alternative energy,Italy,2018,169393.0
Alternative energy,Italy,2019,185884.0
Alternative energy,Italy,2020,158381.0
Alternative energy,Italy,2021,208973.0
Alternative energy,Italy,2022,178126.0
Alternative energy,Italy,2023,209366.0
Alternative energy,Italy,2024,212659.0
Alternative energy,Liechtenstein,2013,21.0
Alternative energy,Liechtenstein,2014,21.0
Alternative energy,Liechtenstein,2015,40.0
Alternative energy,Liechtenstein,2016,48.0
Alternative energy,Liechtenstein,2017,59.0
Alternative energy,Liechtenstein,2018,53.0
Alternative energy,Liechtenstein,2019,104.0
Alternative energy,Liechtenstein,2020,166.0
Alternative energy,Liechtenstein,2021,295.0
Alternative energy,Liechtenstein,2022,319.0
Alternative energy,Liechtenstein,2023,338.0
Alternative energy,Liechtenstein,2024,368.0
Alternative energy,Lithuania,2013,2.0
Alternative energy,Lithuania,2014,60.0
Alternative energy,Lithuania,2015,65.0
Alternative energy,Lithuania,2016,81.0
Alternative energy,Lithuania,2017,56.0
Alternative energy,Lithuania,2018,244.0
Alternative energy,Lithuania,2019,430.0
Alternative energy,Lithuania,2020,914.0
Alternative energy,Lithuania,2021,1611.0
Alternative energy,Lithuania,2022,1877.0
Alternative energy,Lithuania,2023,2215.0
Alternative energy,Lithuania,2024,2453.0
Alternative energy,Luxembourg,2013,177.0
Alternative energy,Luxembourg,2014,350.0
Alternative energy,Luxembourg,2015,92.0
Alternative energy,Luxembourg,2016,158.0
Alternative energy,Luxembourg,2017,396.0
Alternative energy,Luxembourg,2018,441.0
Alternative energy,Luxembourg,2019,991.0
Alternative energy,Luxembourg,2020,2490.0
Alternative energy,Luxembourg,2021,4671.0
Alternative energy,Luxembourg,2022,6417.0
Alternative energy,Luxembourg,2023,11082.0
Alternative energy,Luxembourg,2024,12861.0
Alternative energy,Latvia,2014,385.0
Alternative energy,Latvia,2015,157.0
Alternative energy,Latvia,2016,100.0
Alternative energy,Latvia,2017,130.0
Alternative energy,Latvia,2018,138.0
Alternative energy,Latvia,2019,251.0
Alternative energy,Latvia,2020,492.0
Alternative energy,Latvia,2021,763.0
Alternative energy,Latvia,2022,1413.0
Alternative energy,Latvia,2023,2020.0
Alternative energy,Latvia,2024,1638.0
Alternative energy,Moldova,2013,2119.0
Alternative energy,Moldova,2014,2357.0
Alternative energy,Moldova,2015,2081.0
Alternative energy,Moldova,2016,2530.0
Alternative energy,Moldova,2017,5158.0
Alternative energy,Moldova,2018,4280.0
Alternative energy,Moldova,2019,6296.0
Alternative energy,Moldova,2020,5571.0
Alternative energy,Moldova,2021,8988.0
Alternative energy,Moldova,2022,6520.0
Alternative energy,Moldova,2023,8974.0
Alternative energy,Moldova,2024,14065.0
Alternative energy,Montenegro,2016,13.0
Alternative energy,Montenegro,2017,4.0
Alternative energy,Montenegro,2018,1.0
Alternative energy,Montenegro,2019,6.0
Alternative energy,Montenegro,2021,22.0
Alternative energy,Malta,2013,27.0
Alternative energy,Malta,2014,94.0
Alternative energy,Malta,2015,38.0
Alternative energy,Malta,2016,24.0
Alternative energy,Malta,2017,27.0
Alternative energy,Malta,2018,286.0
Alternative energy,Malta,2019,283.0
Alternative energy,Malta,2020,198.0
Alternative energy,Malta,2021,429.0
Alternative energy,Malta,2022,999.0
Alternative energy,Malta,2023,1522.0
Alternative energy,Malta,2024,2893.0
Alternative energy,Netherlands,2013,5248.0
Alternative energy,Netherlands,2014,7135.0
Alternative energy,Netherlands,2015,4256.0
Alternative energy,Netherlands,2016,5514.0
Alternative energy,Netherlands,2017,10432.0
Alternative energy,Netherlands,2018,25960.0
Alternative energy,Netherlands,2019,62518.0
Alternative energy,Netherlands,2020,74987.0
Alternative energy,Netherlands,2021,66048.0
Alternative energy,Netherlands,2022,75641.0
Alternative energy,Netherlands,2023,116368.0
Alternative energy,Netherlands,2024,134356.0
Alternative energy,Norway,2013,9021.0
Alternative energy,Norway,2014,18573.0
Alternative energy,Norway,2015,25942.0
Alternative energy,Norway,2016,24257.0
Alternative energy,Norway,2017,33120.0
