Motor energy,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
Diesel (excluding hybrids)  ,Lithuania,2015,7690.0
Diesel (excluding hybrids)  ,Lithuania,2016,7587.0
Diesel (excluding hybrids)  ,Lithuania,2017,7865.0
Diesel (excluding hybrids)  ,Lithuania,2018,7210.0
Diesel (excluding hybrids)  ,Lithuania,2019,7260.0
Diesel (excluding hybrids)  ,Lithuania,2020,7037.0
Diesel (excluding hybrids)  ,Lithuania,2021,3806.0
Diesel (excluding hybrids)  ,Lithuania,2022,2389.0
Diesel (excluding hybrids)  ,Lithuania,2023,2739.0
Diesel (excluding hybrids)  ,Lithuania,2024,3868.0
Diesel (excluding hybrids)  ,Luxembourg,2013,34243.0
Diesel (excluding hybrids)  ,Luxembourg,2014,35845.0
Diesel (excluding hybrids)  ,Luxembourg,2015,32867.0
Diesel (excluding hybrids)  ,Luxembourg,2016,32713.0
Diesel (excluding hybrids)  ,Luxembourg,2017,28461.0
Diesel (excluding hybrids)  ,Luxembourg,2018,24761.0
Diesel (excluding hybrids)  ,Luxembourg,2019,23022.0
Diesel (excluding hybrids)  ,Luxembourg,2020,16628.0
Diesel (excluding hybrids)  ,Luxembourg,2021,11194.0
Diesel (excluding hybrids)  ,Luxembourg,2022,9236.0
Diesel (excluding hybrids)  ,Luxembourg,2023,7482.0
Diesel (excluding hybrids)  ,Luxembourg,2024,5749.0
Diesel (excluding hybrids)  ,Latvia,2014,7029.0
Diesel (excluding hybrids)  ,Latvia,2015,6923.0
Diesel (excluding hybrids)  ,Latvia,2016,7287.0
Diesel (excluding hybrids)  ,Latvia,2017,7445.0
Diesel (excluding hybrids)  ,Latvia,2018,6807.0
Diesel (excluding hybrids)  ,Latvia,2019,6893.0
Diesel (excluding hybrids)  ,Latvia,2020,4870.0
Diesel (excluding hybrids)  ,Latvia,2021,3923.0
Diesel (excluding hybrids)  ,Latvia,2022,2606.0
Diesel (excluding hybrids)  ,Latvia,2023,2700.0
Diesel (excluding hybrids)  ,Latvia,2024,2518.0
Diesel (excluding hybrids)  ,Moldova,2017,0.0
Diesel (excluding hybrids)  ,Montenegro,2016,1288.0
Diesel (excluding hybrids)  ,Montenegro,2018,1599.0
Diesel (excluding hybrids)  ,Montenegro,2019,1164.0
Diesel (excluding hybrids)  ,Montenegro,2020,500.0
Diesel (excluding hybrids)  ,Montenegro,2021,1181.0
Diesel (excluding hybrids)  ,Montenegro,2022,699.0
Diesel (excluding hybrids)  ,Malta,2015,2709.0
Diesel (excluding hybrids)  ,Malta,2016,2601.0
Diesel (excluding hybrids)  ,Malta,2017,2613.0
Diesel (excluding hybrids)  ,Malta,2018,2409.0
Diesel (excluding hybrids)  ,Malta,2019,2074.0
Diesel (excluding hybrids)  ,Malta,2020,1036.0
Diesel (excluding hybrids)  ,Malta,2021,528.0
Diesel (excluding hybrids)  ,Malta,2022,406.0
Diesel (excluding hybrids)  ,Malta,2023,623.0
Diesel (excluding hybrids)  ,Malta,2024,301.0
Diesel (excluding hybrids)  ,Netherlands,2019,32685.0
Diesel (excluding hybrids)  ,Netherlands,2020,12963.0
Diesel (excluding hybrids)  ,Netherlands,2021,6920.0
Diesel (excluding hybrids)  ,Netherlands,2022,4638.0
Diesel (excluding hybrids)  ,Netherlands,2023,3966.0
Diesel (excluding hybrids)  ,Netherlands,2024,3765.0
Diesel (excluding hybrids)  ,Norway,2016,52313.0
Diesel (excluding hybrids)  ,Norway,2017,42015.0
Diesel (excluding hybrids)  ,Norway,2018,32340.0
Diesel (excluding hybrids)  ,Norway,2019,26871.0
Diesel (excluding hybrids)  ,Norway,2020,17331.0
Diesel (excluding hybrids)  ,Norway,2021,9576.0
Diesel (excluding hybrids)  ,Norway,2022,6968.0
Diesel (excluding hybrids)  ,Norway,2023,4477.0
Diesel (excluding hybrids)  ,Norway,2024,4286.0
Diesel (excluding hybrids)  ,Poland,2013,102260.0
Diesel (excluding hybrids)  ,Poland,2014,121102.0
Diesel (excluding hybrids)  ,Poland,2015,119613.0
Diesel (excluding hybrids)  ,Poland,2016,132663.0
Diesel (excluding hybrids)  ,Poland,2017,137213.0
Diesel (excluding hybrids)  ,Poland,2018,133738.0
Diesel (excluding hybrids)  ,Poland,2019,115838.0
Diesel (excluding hybrids)  ,Poland,2020,85610.0
Diesel (excluding hybrids)  ,Poland,2021,71053.0
Diesel (excluding hybrids)  ,Poland,2022,59875.0
Diesel (excluding hybrids)  ,Poland,2023,63610.0
Diesel (excluding hybrids)  ,Poland,2024,73139.0
Diesel (excluding hybrids)  ,Portugal,2017,138712.0
Diesel (excluding hybrids)  ,Portugal,2018,123326.0
Diesel (excluding hybrids)  ,Portugal,2019,89376.0
Diesel (excluding hybrids)  ,Portugal,2020,47564.0
Diesel (excluding hybrids)  ,Portugal,2021,31766.0
Diesel (excluding hybrids)  ,Portugal,2022,27881.0
Diesel (excluding hybrids)  ,Portugal,2023,23900.0
Diesel (excluding hybrids)  ,Portugal,2024,18190.0
Diesel (excluding hybrids)  ,Romania,2013,31481.0
Diesel (excluding hybrids)  ,Romania,2014,39774.0
Diesel (excluding hybrids)  ,Romania,2015,44861.0
Diesel (excluding hybrids)  ,Romania,2016,48591.0
Diesel (excluding hybrids)  ,Romania,2017,53979.0
Diesel (excluding hybrids)  ,Romania,2018,53239.0
Diesel (excluding hybrids)  ,Romania,2019,43365.0
Diesel (excluding hybrids)  ,Romania,2020,33826.0
Diesel (excluding hybrids)  ,Romania,2021,20393.0
Diesel (excluding hybrids)  ,Romania,2022,16413.0
Diesel (excluding hybrids)  ,Romania,2023,16322.0
Diesel (excluding hybrids)  ,Romania,2024,18435.0
Diesel (excluding hybrids)  ,Serbia,2019,20379.0
Diesel (excluding hybrids)  ,Serbia,2020,16104.0
Diesel (excluding hybrids)  ,Serbia,2021,10951.0
Diesel (excluding hybrids)  ,Serbia,2022,9568.0
Diesel (excluding hybrids)  ,Serbia,2023,9584.0
Diesel (excluding hybrids)  ,Serbia,2024,10036.0
Diesel (excluding hybrids)  ,Sweden,2013,175422.0
Diesel (excluding hybrids)  ,Sweden,2014,188028.0
Diesel (excluding hybrids)  ,Sweden,2015,206377.0
Diesel (excluding hybrids)  ,Sweden,2016,201040.0
Diesel (excluding hybrids)  ,Sweden,2017,191059.0
Diesel (excluding hybrids)  ,Sweden,2018,137387.0
Diesel (excluding hybrids)  ,Sweden,2019,117760.0
Diesel (excluding hybrids)  ,Sweden,2020,54132.0
Diesel (excluding hybrids)  ,Sweden,2021,27184.0
Diesel (excluding hybrids)  ,Sweden,2022,18379.0
Diesel (excluding hybrids)  ,Sweden,2023,24115.0
Diesel (excluding hybrids)  ,Sweden,2024,19917.0
Diesel (excluding hybrids)  ,Slovenia,2014,29763.0
Diesel (excluding hybrids)  ,Slovenia,2015,31031.0
Diesel (excluding hybrids)  ,Slovenia,2016,32589.0
Diesel (excluding hybrids)  ,Slovenia,2017,32410.0
Diesel (excluding hybrids)  ,Slovenia,2018,23877.0
Diesel (excluding hybrids)  ,Slovenia,2019,21499.0
Diesel (excluding hybrids)  ,Slovenia,2020,16918.0
Diesel (excluding hybrids)  ,Slovenia,2021,11743.0
Diesel (excluding hybrids)  ,Slovenia,2022,7739.0
Diesel (excluding hybrids)  ,Slovenia,2023,7355.0
Diesel (excluding hybrids)  ,Slovenia,2024,8113.0
Diesel (excluding hybrids)  ,Slovakia,2022,12938.0
Diesel (excluding hybrids)  ,Slovakia,2023,15253.0
Diesel (excluding hybrids)  ,Slovakia,2024,14808.0
Diesel (excluding hybrids)  ,Türkiye,2013,383904.0
Diesel (excluding hybrids)  ,Türkiye,2014,364241.0
Diesel (excluding hybrids)  ,Türkiye,2015,462119.0
Diesel (excluding hybrids)  ,Türkiye,2016,460781.0
Diesel (excluding hybrids)  ,Türkiye,2017,457060.0
Diesel (excluding hybrids)  ,Türkiye,2018,320349.0
Diesel (excluding hybrids)  ,Türkiye,2019,211027.0
Diesel (excluding hybrids)  ,Türkiye,2020,246016.0
Diesel (excluding hybrids)  ,Türkiye,2021,144640.0
Diesel (excluding hybrids)  ,Türkiye,2022,101808.0
Diesel (excluding hybrids)  ,Türkiye,2023,153675.0
Diesel (excluding hybrids)  ,Türkiye,2024,114264.0
Diesel (excluding hybrids)  ,Ukraine,2019,15805.0
Diesel (excluding hybrids)  ,Ukraine,2020,28777.0
Diesel (excluding hybrids)  ,Ukraine,2021,28817.0
Diesel (excluding hybrids)  ,Ukraine,2022,9614.0
Diesel (excluding hybrids)  ,Ukraine,2023,15805.0
Diesel (excluding hybrids)  ,Ukraine,2024,17521.0
Diesel (excluding hybrids)  ,United Kingdom,2015,1253393.0
Diesel (excluding hybrids)  ,United Kingdom,2016,1262512.0
Diesel (excluding hybrids)  ,United Kingdom,2017,1047685.0
Diesel (excluding hybrids)  ,United Kingdom,2018,735720.0
Diesel (excluding hybrids)  ,United Kingdom,2021,188492.0
Diesel (excluding hybrids)  ,United Kingdom,2022,122987.0
Diesel (excluding hybrids)  ,United Kingdom,2023,122159.0
Diesel (excluding hybrids)  ,Kosovo*,2017,16564.0
Diesel (excluding hybrids)  ,Kosovo*,2018,7686.0
Diesel (excluding hybrids)  ,Kosovo*,2019,22587.0
Diesel (excluding hybrids)  ,Kosovo*,2021,24003.0
Electricity,Albania,2019,24.0
Electricity,Albania,2020,239.0
Electricity,Albania,2021,262.0
Electricity,Albania,2022,624.0
Electricity,Albania,2023,1671.0
Electricity,Albania,2024,2843.0
Electricity,Austria,2013,654.0
Electricity,Austria,2014,1281.0
Electricity,Austria,2015,1677.0
Electricity,Austria,2016,3826.0
Electricity,Austria,2017,5433.0
Electricity,Austria,2018,6757.0
Electricity,Austria,2019,9242.0
Electricity,Austria,2020,15972.0
Electricity,Austria,2021,33366.0
Electricity,Austria,2022,34165.0
Electricity,Austria,2023,47621.0
Electricity,Austria,2024,44622.0
Electricity,Bosnia and Herzegovina,2013,0.0
Electricity,Bosnia and Herzegovina,2014,0.0
Electricity,Bosnia and Herzegovina,2015,1.0
Electricity,Bosnia and Herzegovina,2016,0.0
Electricity,Bosnia and Herzegovina,2017,7.0
Electricity,Bosnia and Herzegovina,2018,3.0
Electricity,Bosnia and Herzegovina,2019,13.0
Electricity,Bosnia and Herzegovina,2020,8.0
Electricity,Bosnia and Herzegovina,2021,28.0
Electricity,Bosnia and Herzegovina,2022,33.0
Electricity,Bosnia and Herzegovina,2023,135.0
Electricity,Bosnia and Herzegovina,2024,96.0
Electricity,Belgium,2013,501.0
Electricity,Belgium,2014,1167.0
Electricity,Belgium,2015,1360.0
Electricity,Belgium,2016,2061.0
Electricity,Belgium,2017,2717.0
Electricity,Belgium,2018,3763.0
Electricity,Belgium,2019,8892.0
Electricity,Belgium,2020,15044.0
Electricity,Belgium,2021,22774.0
Electricity,Belgium,2022,37760.0
Electricity,Belgium,2023,93482.0
Electricity,Belgium,2024,127915.0
Electricity,Bulgaria,2013,0.0
Electricity,Bulgaria,2014,0.0
Electricity,Bulgaria,2015,10.0
Electricity,Bulgaria,2016,11.0
Electricity,Bulgaria,2017,13.0
Electricity,Bulgaria,2018,145.0
Electricity,Bulgaria,2019,188.0
Electricity,Bulgaria,2020,277.0
Electricity,Bulgaria,2021,550.0
Electricity,Bulgaria,2022,1021.0
Electricity,Bulgaria,2023,1754.0
Electricity,Bulgaria,2024,1665.0
Electricity,Switzerland,2013,1393.0
Electricity,Switzerland,2014,1948.0
Electricity,Switzerland,2015,3882.0
Electricity,Switzerland,2016,3525.0
Electricity,Switzerland,2017,4929.0
Electricity,Switzerland,2018,5349.0
Electricity,Switzerland,2019,13177.0
Electricity,Switzerland,2020,19753.0
Electricity,Switzerland,2021,32025.0
Electricity,Switzerland,2022,40518.0
Electricity,Switzerland,2023,52947.0
Electricity,Switzerland,2024,46608.0
Electricity,Cyprus,2013,8.0
Electricity,Cyprus,2014,1.0
Electricity,Cyprus,2015,4.0
Electricity,Cyprus,2016,7.0
Electricity,Cyprus,2017,18.0
Electricity,Cyprus,2018,5.0
Electricity,Cyprus,2019,58.0
Electricity,Cyprus,2020,42.0
Electricity,Cyprus,2021,78.0
Electricity,Cyprus,2022,401.0
Electricity,Cyprus,2023,788.0
Electricity,Cyprus,2024,1193.0
Electricity,Czechia,2013,33.0
Electricity,Czechia,2014,58.0
Electricity,Czechia,2015,312.0
Electricity,Czechia,2016,210.0
Electricity,Czechia,2017,376.0
Electricity,Czechia,2018,731.0
Electricity,Czechia,2019,778.0
Electricity,Czechia,2020,3264.0
Electricity,Czechia,2021,3172.0
Electricity,Czechia,2022,3786.0
Electricity,Czechia,2023,6567.0
Electricity,Czechia,2024,10854.0
Electricity,Germany,2013,6051.0
Electricity,Germany,2014,8522.0
Electricity,Germany,2015,12363.0
Electricity,Germany,2016,11410.0
Electricity,Germany,2017,25056.0
Electricity,Germany,2018,36062.0
Electricity,Germany,2019,63281.0
Electricity,Germany,2020,194163.0
Electricity,Germany,2021,355961.0
Electricity,Germany,2022,470559.0
Electricity,Germany,2023,524219.0
Electricity,Germany,2024,380609.0
Electricity,Denmark,2013,533.0
Electricity,Denmark,2014,1564.0
Electricity,Denmark,2015,1265.0
Electricity,Denmark,2016,1265.0
Electricity,Denmark,2017,691.0
Electricity,Denmark,2018,1544.0
Electricity,Denmark,2019,5501.0
Electricity,Denmark,2020,14218.0
Electricity,Denmark,2021,24876.0
Electricity,Denmark,2022,30799.0
Electricity,Denmark,2023,62576.0
Electricity,Denmark,2024,89058.0
Electricity,Estonia,2013,130.0
Electricity,Estonia,2014,331.0
Electricity,Estonia,2015,30.0
Electricity,Estonia,2016,32.0
Electricity,Estonia,2017,26.0
Electricity,Estonia,2018,83.0
Electricity,Estonia,2019,77.0
Electricity,Estonia,2020,344.0
Electricity,Estonia,2021,487.0
Electricity,Estonia,2022,693.0
Electricity,Estonia,2023,1448.0
Electricity,Estonia,2024,1323.0
Electricity,Greece,2013,2.0
Electricity,Greece,2014,38.0
Electricity,Greece,2015,32.0
Electricity,Greece,2016,20.0
Electricity,Greece,2017,37.0
Electricity,Greece,2018,77.0
Electricity,Greece,2019,188.0
Electricity,Greece,2020,678.0
Electricity,Greece,2021,2174.0
Electricity,Greece,2022,2826.0
Electricity,Greece,2023,6377.0
Electricity,Greece,2024,8708.0
Electricity,Spain,2013,936.0
Electricity,Spain,2014,1004.0
Electricity,Spain,2015,2620.0
Electricity,Spain,2016,2085.0
Electricity,Spain,2017,4038.0
Electricity,Spain,2018,6238.0
Electricity,Spain,2019,10415.0
Electricity,Spain,2020,18217.0
Electricity,Spain,2021,24400.0
Electricity,Spain,2022,31737.0
Electricity,Spain,2023,55388.0
Electricity,Spain,2024,59383.0
Electricity,European Union - 27 countries (from 2020),2013,22066.0
Electricity,European Union - 27 countries (from 2020),2014,31179.0
Electricity,European Union - 27 countries (from 2020),2015,46669.0
Electricity,European Union - 27 countries (from 2020),2016,53527.0
Electricity,European Union - 27 countries (from 2020),2017,83793.0
Electricity,European Union - 27 countries (from 2020),2018,134444.0
Electricity,European Union - 27 countries (from 2020),2019,250082.0
Electricity,European Union - 27 countries (from 2020),2020,539034.0
Electricity,European Union - 27 countries (from 2020),2021,885298.0
Electricity,European Union - 27 countries (from 2020),2022,1129786.0
Electricity,European Union - 27 countries (from 2020),2023,1547669.0
Electricity,European Union - 27 countries (from 2020),2024,1453922.0
Electricity,Finland,2013,50.0
Electricity,Finland,2014,183.0
Electricity,Finland,2015,243.0
Electricity,Finland,2016,223.0
Electricity,Finland,2017,502.0
Electricity,Finland,2018,776.0
Electricity,Finland,2019,1897.0
Electricity,Finland,2020,4245.0
Electricity,Finland,2021,10153.0
Electricity,Finland,2022,14531.0
Electricity,Finland,2023,29537.0
Electricity,Finland,2024,21870.0
Electricity,France,2013,8781.0
Electricity,France,2014,10567.0
Electricity,France,2015,17269.0
Electricity,France,2016,21758.0
Electricity,France,2017,25368.0
Electricity,France,2018,31687.0
Electricity,France,2019,43564.0
Electricity,France,2020,112499.0
Electricity,France,2021,165566.0
Electricity,France,2022,207171.0
Electricity,France,2023,303590.0
Electricity,France,2024,295055.0
Electricity,Georgia,2017,83.0
Electricity,Georgia,2018,21.0
Electricity,Georgia,2019,22.0
Electricity,Georgia,2020,22.0
Electricity,Georgia,2021,43.0
Electricity,Georgia,2022,206.0
Electricity,Georgia,2023,245.0
Electricity,Georgia,2024,513.0
Electricity,Croatia,2013,3.0
Electricity,Croatia,2014,47.0
Electricity,Croatia,2015,80.0
Electricity,Croatia,2016,66.0
Electricity,Croatia,2017,55.0
Electricity,Croatia,2018,182.0
Electricity,Croatia,2019,279.0
Electricity,Croatia,2020,639.0
Electricity,Croatia,2021,1121.0
Electricity,Croatia,2022,1062.0
Electricity,Croatia,2023,1125.0
Electricity,Croatia,2024,882.0
Electricity,Hungary,2013,10.0
Electricity,Hungary,2014,32.0
Electricity,Hungary,2015,116.0
Electricity,Hungary,2016,176.0
Electricity,Hungary,2017,749.0
Electricity,Hungary,2018,1300.0
Electricity,Hungary,2019,1834.0
Electricity,Hungary,2020,3047.0
Electricity,Hungary,2021,4313.0
Electricity,Hungary,2022,4707.0
Electricity,Hungary,2023,5807.0
Electricity,Hungary,2024,8565.0
Electricity,Ireland,2013,49.0
Electricity,Ireland,2014,194.0
Electricity,Ireland,2015,494.0
Electricity,Ireland,2016,402.0
Electricity,Ireland,2017,631.0
Electricity,Ireland,2018,1252.0
Electricity,Ireland,2019,3665.0
Electricity,Ireland,2020,4075.0
Electricity,Ireland,2021,9199.0
Electricity,Ireland,2022,15872.0
Electricity,Ireland,2023,23181.0
Electricity,Ireland,2024,17506.0
Electricity,Iceland,2017,845.0
Electricity,Iceland,2018,784.0
Electricity,Iceland,2019,1090.0
Electricity,Iceland,2020,2551.0
Electricity,Iceland,2021,4246.0
Electricity,Iceland,2022,5567.0
Electricity,Iceland,2023,8783.0
Electricity,Iceland,2024,2661.0
Electricity,Italy,2013,846.0
Electricity,Italy,2014,1155.0
Electricity,Italy,2015,1576.0
Electricity,Italy,2016,1497.0
Electricity,Italy,2017,2109.0
Electricity,Italy,2018,5198.0
Electricity,Italy,2019,10612.0
Electricity,Italy,2020,30930.0
Electricity,Italy,2021,69178.0
Electricity,Italy,2022,48960.0
Electricity,Italy,2023,65800.0
Electricity,Italy,2024,65617.0
Electricity,Liechtenstein,2013,14.0
Electricity,Liechtenstein,2014,18.0
Electricity,Liechtenstein,2015,30.0
Electricity,Liechtenstein,2016,46.0
Electricity,Liechtenstein,2017,57.0
Electricity,Liechtenstein,2018,48.0
Electricity,Liechtenstein,2019,97.0
Electricity,Liechtenstein,2020,164.0
Electricity,Liechtenstein,2021,292.0
Electricity,Liechtenstein,2022,317.0
Electricity,Liechtenstein,2023,338.0
Electricity,Liechtenstein,2024,362.0
Electricity,Lithuania,2013,2.0
Electricity,Lithuania,2014,8.0
Electricity,Lithuania,2015,26.0
Electricity,Lithuania,2016,62.0
Electricity,Lithuania,2017,43.0
Electricity,Lithuania,2018,141.0
Electricity,Lithuania,2019,175.0
Electricity,Lithuania,2020,480.0
Electricity,Lithuania,2021,1277.0
Electricity,Lithuania,2022,1507.0
Electricity,Lithuania,2023,2210.0
Electricity,Lithuania,2024,1877.0
Electricity,Luxembourg,2013,158.0
Electricity,Luxembourg,2014,312.0
Electricity,Luxembourg,2015,73.0
Electricity,Luxembourg,2016,145.0
Electricity,Luxembourg,2017,386.0
Electricity,Luxembourg,2018,430.0
Electricity,Luxembourg,2019,986.0
Electricity,Luxembourg,2020,2473.0
Electricity,Luxembourg,2021,4649.0
Electricity,Luxembourg,2022,6391.0
Electricity,Luxembourg,2023,11048.0
Electricity,Luxembourg,2024,12777.0
Electricity,Latvia,2013,0.0
Electricity,Latvia,2014,174.0
Electricity,Latvia,2015,17.0
Electricity,Latvia,2016,19.0
Electricity,Latvia,2017,41.0
Electricity,Latvia,2018,78.0
Electricity,Latvia,2019,116.0
Electricity,Latvia,2020,351.0
Electricity,Latvia,2021,480.0
Electricity,Latvia,2022,1069.0
Electricity,Latvia,2023,1629.0
Electricity,Latvia,2024,1260.0
Electricity,Moldova,2013,0.0
Electricity,Moldova,2014,1.0
Electricity,Moldova,2015,13.0
Electricity,Moldova,2016,14.0
Electricity,Moldova,2017,37.0
Electricity,Moldova,2018,42.0
Electricity,Moldova,2019,185.0
Electricity,Moldova,2020,211.0
Electricity,Moldova,2021,396.0
Electricity,Moldova,2022,729.0
Electricity,Moldova,2023,1012.0
Electricity,Moldova,2024,1666.0
Electricity,Montenegro,2017,4.0
Electricity,Montenegro,2018,1.0
Electricity,Malta,2013,18.0
Electricity,Malta,2014,30.0
Electricity,Malta,2015,23.0
Electricity,Malta,2016,19.0
Electricity,Malta,2017,24.0
Electricity,Malta,2018,285.0
Electricity,Malta,2019,281.0
Electricity,Malta,2020,178.0
Electricity,Malta,2021,416.0
Electricity,Malta,2022,990.0
Electricity,Malta,2023,1516.0
Electricity,Malta,2024,2893.0
Electricity,Netherlands,2013,2619.0
Electricity,Netherlands,2014,2912.0
Electricity,Netherlands,2015,3193.0
Electricity,Netherlands,2016,3988.0
Electricity,Netherlands,2017,7958.0
Electricity,Netherlands,2018,23985.0
Electricity,Netherlands,2019,61547.0
Electricity,Netherlands,2020,72859.0
Electricity,Netherlands,2021,63658.0
Electricity,Netherlands,2022,73250.0
Electricity,Netherlands,2023,113961.0
Electricity,Netherlands,2024,132167.0
Electricity,Norway,2013,7885.0
Electricity,Norway,2014,18091.0
Electricity,Norway,2015,25779.0
Electricity,Norway,2016,24222.0
Electricity,Norway,2017,33023.0
Electricity,Norway,2018,46091.0
Electricity,Norway,2019,60271.0
Electricity,Norway,2020,82212.0
Electricity,Norway,2021,116399.0
Electricity,Norway,2022,142504.0
Electricity,Norway,2023,104727.0
Electricity,Norway,2024,114814.0
Electricity,Poland,2013,26.0
Electricity,Poland,2014,81.0
Electricity,Poland,2015,112.0
Electricity,Poland,2016,157.0
Electricity,Poland,2017,508.0
Electricity,Poland,2018,694.0
Electricity,Poland,2019,1464.0
Electricity,Poland,2020,3679.0
Electricity,Poland,2021,7092.0
Electricity,Poland,2022,11293.0
Electricity,Poland,2023,17078.0
Electricity,Poland,2024,16564.0
Electricity,Portugal,2013,167.0
Electricity,Portugal,2014,198.0
Electricity,Portugal,2015,692.0
Electricity,Portugal,2016,820.0
Electricity,Portugal,2017,1912.0
Electricity,Portugal,2018,4458.0
Electricity,Portugal,2019,6880.0
Electricity,Portugal,2020,7908.0
Electricity,Portugal,2021,13546.0
Electricity,Portugal,2022,18426.0
Electricity,Portugal,2023,36456.0
Electricity,Portugal,2024,41837.0
Electricity,Romania,2013,37.0
Electricity,Romania,2014,17.0
Electricity,Romania,2015,28.0
Electricity,Romania,2016,69.0
Electricity,Romania,2017,232.0
Electricity,Romania,2018,604.0
Electricity,Romania,2019,1506.0
Electricity,Romania,2020,2844.0
Electricity,Romania,2021,6344.0
Electricity,Romania,2022,11638.0
Electricity,Romania,2023,15367.0
Electricity,Romania,2024,9795.0
Electricity,Serbia,2019,37.0
Electricity,Serbia,2020,61.0
Electricity,Serbia,2021,138.0
Electricity,Serbia,2022,221.0
Electricity,Serbia,2023,494.0
Electricity,Serbia,2024,604.0
Electricity,Sweden,2013,452.0
Electricity,Sweden,2014,1266.0
Electricity,Sweden,2015,2916.0
Electricity,Sweden,2016,2993.0
Electricity,Sweden,2017,4359.0
Electricity,Sweden,2018,7147.0
Electricity,Sweden,2019,15795.0
Electricity,Sweden,2020,27981.0
Electricity,Sweden,2021,57590.0
Electricity,Sweden,2022,95371.0
Electricity,Sweden,2023,112321.0
Electricity,Sweden,2024,94546.0
Electricity,Slovenia,2013,0.0
Electricity,Slovenia,2014,13.0
Electricity,Slovenia,2015,123.0
Electricity,Slovenia,2016,151.0
Electricity,Slovenia,2017,297.0
Electricity,Slovenia,2018,521.0
Electricity,Slovenia,2019,695.0
Electricity,Slovenia,2020,1720.0
Electricity,Slovenia,2021,1742.0
Electricity,Slovenia,2022,2293.0
Electricity,Slovenia,2023,4306.0
Electricity,Slovenia,2024,3154.0
Electricity,Slovakia,2013,0.0
Electricity,Slovakia,2014,24.0
Electricity,Slovakia,2015,15.0
Electricity,Slovakia,2016,55.0
Electricity,Slovakia,2017,214.0
Electricity,Slovakia,2018,301.0
Electricity,Slovakia,2019,166.0
Electricity,Slovakia,2020,907.0
Electricity,Slovakia,2021,1136.0
Electricity,Slovakia,2022,1508.0
Electricity,Slovakia,2023,2517.0
Electricity,Slovakia,2024,2227.0
Electricity,Türkiye,2013,180.0
Electricity,Türkiye,2014,63.0
Electricity,Türkiye,2015,154.0
Electricity,Türkiye,2016,77.0
Electricity,Türkiye,2017,117.0
Electricity,Türkiye,2018,206.0
Electricity,Türkiye,2019,228.0
Electricity,Türkiye,2020,1617.0
Electricity,Türkiye,2021,3575.0
Electricity,Türkiye,2022,8312.0
Electricity,Türkiye,2023,65558.0
Electricity,Türkiye,2024,103850.0
Electricity,Ukraine,2019,7261.0
Electricity,Ukraine,2020,641.0
Electricity,Ukraine,2021,1210.0
Electricity,Ukraine,2022,2255.0
Electricity,Ukraine,2023,7261.0
Electricity,Ukraine,2024,10231.0
Electricity,United Kingdom,2015,10063.0
Electricity,United Kingdom,2016,10544.0
Electricity,United Kingdom,2017,13727.0
Electricity,United Kingdom,2018,15579.0
Electricity,United Kingdom,2021,188143.0
Electricity,United Kingdom,2022,263197.0
Electricity,United Kingdom,2023,308941.0
Electricity,Kosovo*,2017,2.0
Electricity,Kosovo*,2018,1.0
Electricity,Kosovo*,2019,0.0
Electricity,Kosovo*,2021,20.0
Hybrid diesel-electric,Albania,2019,23.0
Hybrid diesel-electric,Albania,2020,47.0
Hybrid diesel-electric,Albania,2021,178.0
Hybrid diesel-electric,Albania,2022,334.0
Hybrid diesel-electric,Albania,2023,583.0
Hybrid diesel-electric,Albania,2024,730.0
Hybrid diesel-electric,Austria,2013,130.0
Hybrid diesel-electric,Austria,2014,90.0
Hybrid diesel-electric,Austria,2015,518.0
Hybrid diesel-electric,Austria,2016,169.0
Hybrid diesel-electric,Austria,2017,43.0
Hybrid diesel-electric,Austria,2018,1008.0
Hybrid diesel-electric,Austria,2019,4112.0
Hybrid diesel-electric,Austria,2020,7848.0
Hybrid diesel-electric,Austria,2021,12519.0
Hybrid diesel-electric,Austria,2022,12620.0
Hybrid diesel-electric,Austria,2023,13925.0
Hybrid diesel-electric,Austria,2024,12479.0
Hybrid diesel-electric,Bosnia and Herzegovina,2013,0.0
Hybrid diesel-electric,Bosnia and Herzegovina,2014,1.0
Hybrid diesel-electric,Bosnia and Herzegovina,2015,0.0
Hybrid diesel-electric,Bosnia and Herzegovina,2016,2.0
Hybrid diesel-electric,Bosnia and Herzegovina,2017,0.0
Hybrid diesel-electric,Bosnia and Herzegovina,2018,1.0
Hybrid diesel-electric,Bosnia and Herzegovina,2019,11.0
Hybrid diesel-electric,Bosnia and Herzegovina,2020,8.0
Hybrid diesel-electric,Bosnia and Herzegovina,2021,22.0
Hybrid diesel-electric,Bosnia and Herzegovina,2022,110.0
Hybrid diesel-electric,Bosnia and Herzegovina,2023,129.0
Hybrid diesel-electric,Bosnia and Herzegovina,2024,168.0
Hybrid diesel-electric,Belgium,2013,912.0
Hybrid diesel-electric,Belgium,2014,741.0
Hybrid diesel-electric,Belgium,2015,2493.0
Hybrid diesel-electric,Belgium,2016,1301.0
Hybrid diesel-electric,Belgium,2017,834.0
Hybrid diesel-electric,Belgium,2018,1249.0
Hybrid diesel-electric,Belgium,2019,6012.0
Hybrid diesel-electric,Belgium,2020,14955.0
Hybrid diesel-electric,Belgium,2021,21348.0
Hybrid diesel-electric,Belgium,2022,15800.0
Hybrid diesel-electric,Belgium,2023,5540.0
